Time, nImgs, source
19985	100	small
19731	100	small
19744	100	small
19618	100	small
19719	100	small
39460	200	small
39131	200	small
39466	200	small
38842	200	small
39062	200	small
58952	300	small
58774	300	small
58833	300	small
58806	300	small
59105	300	small
78057	400	small
79105	400	small
77937	400	small
79294	400	small
78757	400	small
99185	500	small
98101	500	small
97470	500	small
97417	500	small
97869	500	small
118427	600	small
118509	600	small
118535	600	small
118549	600	small
118586	600	small
